nr;name;altitude_from;altitude_to;length;lift_cat;lift_nr;lift_name;slope_cat;geoid;geom;rid;pid;number;duration;slopeType;regionId;skiline
10;Rossalm 2;;;1000;;;;medium;;;10330;215985;10;130;red;10;0
10;Rossalm 1;;;4800;;;;easy;;;10290;215986;10;441;blue;10;0
9;Trainingspiste;;;2000;;;;easy;;;10356;215987;9;162;blue;10;0
1;Trametsch ;;;8190;;;;hard;;;10314;215990;1;1357;black;10;0
2;Erler;2200;2110;1200;;;;easy;;;11254;6496665;2;137;blue;10;0
;Filler - Funes 1;1450;1280;500;;;;medium;;;10122;215945;;135;red;10;0
;Filler - Funes 2;1550;1280;700;;;;easy;;;10424;215946;;189;blue;10;0
9;Luson;;;1000;;;;easy;;;10702;215954;9;380;blue;10;0
;Maders - Feldthurns;1160;1050;500;;;;medium;;;10545;215955;;135;red;10;0
57;Panorama;1160;1050;800;;;;easy;;;10545;1725616071;57;135;blue;10;0
40;Col Margherita;;;2900;;;;medium;;;10052;86630;40;746;red;11;0
41;La VolatA;;;618;;;;hard;;;10414;186619;41;174;black;11;0
42;Le Caviette;;;2450;;;;medium;;;10394;86631;42;530;red;11;0
43;Raccordo del Passo;;;200;;;;easy;;;10215;86634;43;54;blue;11;0
44;Del Passo;;;790;;;;easy;;;10493;86632;44;407;blue;11;0
48;Campo scuola Chiesetta;;;80;;;;easy;;;0;186590;48;;blue;11;0
49a;Le Coste A;;;1800;;;;medium;;;10561;86620;49a;487;red;11;0
49b;Le Coste B;;;1800;;;;medium;;;10561;86623;49b;487;red;11;0
50;Ciadin ;;;1900;;;;medium;;;10382;88228964;50;514;red;11;0
51;Cima Uomo ;;;400;;;;medium;;;10663;187461;51;108;red;11;0
51A;Variante Cima Uomo;;;350;;;;medium;;;0;187457;51A;95;red;11;0
52;Nuova Cima Uomo;;;750;;;;hard;;;10624;187456;52;555;black;11;0
53;Raccordo Ciadin - Costabella;;;355;;;;easy;;;10285;187462;53;48;blue;11;0
54;Snowpark Ciadin ;;;1900;;;;medium;;;86633;86633;54;514;red;11;0
55;Panorama;;;1230;;;;easy;;;10378;86625;55;244;blue;11;0
56;Raccordo  Costabella - Ciadin;;;500;;;;easy;;;10597;86618;56;181;blue;11;0
57;Paradiso;;;1180;;;;easy;;;10213;86624;57;319;blue;11;0
58;Fuchiade;;;1680;;;;easy;;;10379;86617;58;171;blue;11;0
59;Costabella;;;1380;;;;medium;;;10208;86627;59;414;red;11;0
60;Monzoni;;;1520;;;;medium;;;10464;86636;60;473;red;11;0
61;Skicross Monzoni;;;900;;;;medium;;;10823;613751;61;244;red;11;0
64;Campigol;;;590;;;;easy;;;10560;86621;64;357;blue;11;0
;raccordo monzoni;;;590;;;;easy;;;10560;86622;;160;blue;11;0
63;Martinet;;;450;;;;easy;;;0;86626;63;122;blue;11;0
66;Capanna Margherita;;;450;;;;easy;;;0;86628;66;244;blue;11;0
;Snowpark Sanpe;;;110;;;;;;;0;1671870811;;;orange;11;0
;raccordo campo scuola - chiesetta;;;;;;;;;;0;1671870812;;;orange;11;0
;raccordo chiesetta - le coste;;;250;;;;;;;0;1671870813;;;orange;11;0
20;Innamorati;;;11550;;;;easy;;;10526;186567;20;3126;blue;11;0
21;Zingari;;;;;;;medium;;;0;1701938452;21;;red;11;0
23;Laresei ;;;1700;;;;medium;;;10565;186568;23;366;red;11;0
24;Saline;;;1004;;;;easy;;;10126;186570;24;388;blue;11;0
25;Saline - Lago Cavia;;;794;;;;medium;;;10077;186571;25;335;red;11;0
26;Panoramica ;;;1769;;;;medium;;;10885;186573;26;490;red;11;0
27;Plateau;;;1700;;;;medium;;;10513;186574;27;498;red;11;0
27A;Variante del Gigio;;;358;;;;medium;;;0;186615;27A;97;red;11;0
29;Campo scuola Le Buse;;;271;;;;easy;;;0;186579;29;73;blue;11;0
30;Le Buse - Molino (Rossignol);;;3925;;;;medium;;;10190;186577;30;281;red;11;0
31;Raccordo Zingari - Lago Cavia;;;480;;;;easy;;;10310;186578;31;205;blue;11;0
33;Col Margherita - Lago Cavia;;;2390;;;;medium;;;10726;186580;33;484;red;11;0
28;Collegamento Laresei;;;2390;;;;easy;;;0;186581;28;647;blue;11;0
34;pradazzo - lago cavia;;;2390;;;;easy;;;0;186583;34;647;blue;11;0
1;Fiamme Oro 1;;;1385;;;;hard;;;10462;86603;1;364;black;11;0
2;Fiamme Oro 2;;;2290;;;;medium;;;10108;86604;2;664;red;11;0
2a;Canalone Tomba;;;350;;;;hard;;;0;613755;2a;95;black;11;0
2b;Skiweg Pozil;;;300;;;;easy;;;0;613754;2b;81;blue;11;0
2c;Alfa Fischer ;;;700;;;;medium;;;0;613757;2c;189;red;11;0
2d;Variante Viezzena;;;650;;;;easy;;;0;613756;2d;84;blue;11;0
2e;Aquile Fun Slope;;;950;;;;;;;187547;187547;2e;257;orange;11;0
3;Mediolanum;;;1430;;;;medium;;;10488;86605;3;387;red;11;0
4;Campo Scuola Valbona;1820;1850;180;;;;easy;;;10761;86602;4;49;blue;11;0
5;Piavac;2200;1770;1200;;;;hard;;;10211;86611;5;325;black;11;0
6;Le Cune ;2200;1840;2120;;;;medium;;;10600;86608;6;574;red;11;0
6a;Boardercross Lusia;;;800;;;;;;;0;187546;6a;217;orange;11;0
6b;Baby Boardercross;;;300;;;;easy;;;0;613759;6b;81;blue;11;0
7;Direttissima;;;770;;;;hard;;;10877;86606;7;208;black;11;0
8;Lastè;2335;2000;1660;;;;medium;;;10387;86609;8;669;red;11;0
9;Zirmes;2335;1850;3000;;;;medium;;;10759;86610;9;564;red;11;0
;Valbona - Piavac;2335;1850;3000;;;;medium;;;0;86612;;812;red;11;0
;Raccordo - Cune;2335;1850;3000;;;;easy;;;0;86613;;812;blue;11;0
1;Coldai;1912;1457;3595;;;;medium;;;10240;6550880;1;184;red;12;0
2;Rientro;1536;979;3501;;;;medium;;;10125;6550885;2;361;red;12;0
3;Ru de Porta;1466;1119;1743;;;;medium;;;10309;6550883;3;701;red;12;0
5;Campo Scuola Baby;1498;1456;234;;;;easy;;;10452;6550890;5;69;blue;12;0
;Baby Cabinovia;1498;1450;250;;;;easy;;;10406;6550875;;136;blue;12;0
6;Nera;1787;1561;1060;;;;hard;;;10629;6550893;6;287;black;12;0
7;Lavadoi;1785;1573;1196;;;;medium;;;10655;6550881;7;328;red;12;0
8;Pian dei Sec;1912;1620;2955;;;;easy;;;10807;6550886;8;565;blue;12;0
9;Baldi;1920;1787;930;;;;easy;;;10178;6550873;9;266;blue;12;0
10;Belamont 1;1916;1712;966;;;;easy;;;10669;6550877;10;177;blue;12;0
11;Belamont 2;1916;1712;1243;;;;medium;;;10177;6550878;11;336;red;12;0
12;Fernazza;2080;1792;1664;;;;easy;;;10107;6550888;12;322;blue;12;0
13;Civetta;1733;1456;1137;;;;medium;;;10805;6550879;13;379;red;12;0
14;Azzurra;1922;1751;786;;;;easy;;;10722;6550874;14;176;blue;12;0
15;Roa Bianca;1841;1650;2941;;;;easy;;;10914;6550884;15;201;blue;12;0
16;Pelmo;1991;1793;765;;;;easy;;;10554;6550894;16;295;blue;12;0
18;Campo Scuola Mariaz;1479;1444;260;;;;easy;;;10670;6550876;18;542;blue;12;0
;Collegamento cab. Alleghe - Piani Pezzè;1450;1430;350;;;;easy;;;10797;6550882;;209;blue;12;0
;Forcella Alleghe;1920;1841;560;;;;easy;;;10711;6550895;;179;blue;12;0
;Fertazza - Col fioret;1920;;150;;;;easy;;;10711;6550896;;65;blue;12;0
31;2000;1910;1520;1989;;;;medium;;;10365;187043;31;538;red;12;0
32;Cornia;1646;1520;1287;;;;easy;;;10866;187044;32;129;blue;12;0
33;Duel;1910;1520;1638;;;;medium;;;10311;187045;33;439;red;12;0
48;Pelmetto;1646;1520;500;;;;easy;;;132913689;132913689;48;135;blue;12;0
38;Foppe;1686;1378;1487;;;;hard;;;10550;187050;38;507;black;12;0
39;Cristelin 1;1766;1590;814;;;;medium;;;10318;187057;39;276;red;12;0
39;Cristelin 2;1608;1382;1320;;;;medium;;;10129;187058;39;901;red;12;0
40;Lendina;1733;1381;3744;;;;easy;;;10181;187051;40;484;blue;12;0
41;Casot;1751;1578;1177;;;;easy;;;10271;6550891;41;229;blue;12;0
41;Casot di Pecol;;;1550;;;;easy;;;0;187052;41;420;blue;12;0
42;Le Coste;1594;1399;1915;;;;medium;;;10287;187053;42;371;red;12;0
43;Della Grava;1863;1604;1841;;;;easy;;;10867;6550889;43;480;blue;12;0
45;Campo Scuola Campetto;1750;1741;138;;;;easy;;;0;187098;45;37;blue;12;0
36;Valgranda;1865;1613;1105;;;;medium;;;10894;187099;36;480;red;12;0
37;Laghetto;1864;1601;1192;;;;hard;;;10705;187048;37;491;black;12;0
44;Crep;1737;1590;1006;;;;medium;;;10499;6550892;44;308;red;12;0
44;Crep di Pecol;;;2000;;;;medium;;;0;187095;44;541;red;12;0
46;Grava 2;1767;1649;1516;;;;medium;;;10186;187055;46;410;red;12;0
47;Raccordo Casot di Pecol-Lendina;;;1300;;;;medium;;;0;187101;47;352;red;12;0
47;Raccordo Casot;1595;1573;511;;;;medium;;;10873;6550887;47;206;red;12;0
21;Salere;2077;1410;3665;;;;medium;;;10415;6550909;21;361;red;12;0
29;Bait;1845;1413;2457;;;;medium;;;10473;6550898;29;481;red;12;0
22;Le Ciaune ;2080;1842;1476;;;;easy;;;10102;6550908;22;414;blue;12;0
23;Fertazza;2072;1841;1040;;;;medium;;;10908;6550904;23;473;red;12;0
30;Cima Fertazza sx;2079;1961;390;;;;hard;;;0;6550901;30;561;black;12;0
24;Col Fioret;1945;1872;697;;;;easy;;;10461;6550903;24;161;blue;12;0
26;Forcella Pecol 2;1854;1703;985;;;;easy;;;10179;6550906;26;354;blue;12;0
25;Forcella Pecol;1855;1774;519;;;;easy;;;10085;6550907;25;162;blue;12;0
27;Fontana Fredda;1793;1708;936;;;;easy;;;10162;6550905;27;221;blue;12;0
28;Campo Scuola S. Fosca;1397;1360;400;;;;easy;;;10254;6550900;28;108;blue;12;0
